Index	w1	w2
1.000000000000000000e+00	4.621960673935447683e-02	1.718870458059720829e-01
2.000000000000000000e+00	-1.715872160540687918e-02	9.775384252521180928e-01
3.000000000000000000e+00	9.809987269807544097e-01	7.607555640699259492e-03
4.000000000000000000e+00	1.568262575664541025e-01	-2.791632619091444223e-02
5.000000000000000000e+00	-3.289078960648585820e-02	-5.820486341899877569e-02
6.000000000000000000e+00	-9.618825347838012851e-02	-5.437721812829271473e-02
